0.20624,1.1713,0.97796
0.49642,3.0225,2.599
165.92,449.54,219.47
27.081,87.643,49.61
8.9888,33.319,20.881
0.61871,3.5139,-1.8712
-7.8255e-28,-1.3127e-26,-1.1309e-26
0.8855,5.777,5.1079
199.87,682.04,408.19
34.064,134.53,89.213
11.674,51.76,36.955
429.7,1067,474.92
201.72,547.65,170.36
22.799,57.399,25.123
73.157,210.06,106.35
35.645,116.21,35.781
7.1941,21.297,10.815
12.578,47.291,13.246
1.0768,6.4362,-0.7603
-1.8099,-5.376,-4.9411
-0.33596,-1.908,-1.5931
-0.61871,-3.5139,1.8712
-0.73012,-4.5524,-0.95054
148.01,296.88,102.6
-148.01,-296.88,-102.6
-22.799,-57.399,-25.123
-7.1941,-21.297,-10.815
-3.1424,-10.563,-5.9688
-1.64,-6.1436,-3.7786
1.3887,9.6918,8.7924
43.997,204.85,151.38
15.311,78.775,61.525
506.67,1615,912.91
252.2,1037.6,711.4
89.688,321.25,197.98
501.19,1248.7,380.17
64.271,138.55,49.746
393.95,700.4,201.39
90.928,263.09,81.973
267.78,914.75,307.36
48.031,190.38,63.748
17.043,76.057,24.195
-10.118,-37.713,-23.761
-4.7223,-19.722,-13.443
-2.635,-12.13,-8.8018
-0.80866,-4.9236,-4.2338
-1.0768,-6.4362,0.7603
-201.72,-547.65,-170.36
-35.645,-116.21,-35.781
-12.578,-47.291,-13.246
-14.042,-55.324,-24.983
-7.9423,-35.37,-16.037
-393.95,-700.4,-201.39
-177.18,-480.4,-234.76
-64.271,-138.55,-49.746
-29.774,-96.628,-54.865
-25.542,-86.35,-37.736
-18.357,-46.524,-19.867
-6.94,-20.258,-9.9544
57.049,305.67,244.44
19.947,116.59,97.278
324.45,1562.3,1180.5
632.08,2458.7,1621.3
114.78,492.01,345.11
660.62,2109.3,700.01
122.75,441.2,148.51
356.85,1468.9,517.36
-42.37,-167.89,-88.573
-32.622,-133.26,-79.844
-78.746,-226.74,-115.17
-24.203,-79.405,-44.968
-41.15,-162.96,-108.33
-15.003,-66.935,-35.815
-18.008,-83.579,-52.188
-9.9258,-36.649,-22.756
-14.491,-64.585,-46.291
-6.9641,-34.232,-25.994
-48.031,-190.38,-63.748
-17.043,-76.057,-24.195
-501.19,-1248.7,-380.17
-267.78,-914.75,-307.36
-90.928,-263.09,-81.973
-32.404,-100.38,-42.544
-19.957,-71.466,-31.657
-452.18,-1124.1,-501.08
-237.59,-811.52,-410.46
-232.49,-793.96,-475.55
417.68,2303.6,1871.9
810.74,3721.8,2733.7
149.06,743.34,571.69
73.341,444.23,377.21
882.91,3436.8,1200.4
-316.15,-1301.3,-704.24
-587.76,-1876.3,-924
-108.21,-388.9,-199.93
-41.385,-157.3,-91.585
-309.87,-1275.5,-809.57
-577.57,-1843.3,-1043.2
-105.67,-379.56,-234.49
-317.73,-1308,-897.22
-56.627,-264.07,-147.08
-55.45,-258.57,-171.75
-34.003,-136,-90.535
-57.33,-267.48,-197.94
-20.416,-105.42,-82.527
-356.85,-1468.9,-517.36
-660.62,-2109.3,-700.01
-122.75,-441.2,-148.51
1045.9,5532.9,4400.6
532.58,3309.9,2845.2
-781.32,-3041.4,-1618.2
-766.17,-2982.4,-1848.2
-781.87,-3044.3,-2008.9
-409.27,-1971.1,-1327.6
-146.55,-629.44,-442.14
-418.93,-2017.6,-1466.2
-435.43,-2097.5,-1585.3
-78.592,-421.68,-337.47
-882.91,-3436.8,-1200.4
-1072.9,-4928.4,-3621.4
