-0.11712,-0.74714,-0.65426,0.33986
-0.81923,-0.57346,0,0.81923
0,0,-1,1.0622
-0.31529,-0.85309,-0.41572,0.36228
-0.26146,-0.84129,-0.47315,0.33633
-0.22626,-0.82819,-0.51275,0.33291
0.81923,0.57346,0,0.81923
0,0,1,0.5311
0.13394,0.7607,0.63514,-0.27623
-0.10386,-0.7353,-0.66974,0.40412
-0.81923,-0.57346,0,0.81923
0,0,-1,1.0622
-0.24443,-0.83246,-0.49725,0.33792
-0.20849,-0.81678,-0.53796,0.33498
-0.18424,-0.80335,-0.5663,0.345
0.81923,0.57346,0,0.81923
0,0,1,0.5311
0.11712,0.74714,0.65426,-0.33986
-0.30318,-0.8489,-0.43295,0.362
-0.81923,-0.57346,0,0.81923
-0.40672,-0.85411,-0.32417,0.42824
0.36718,0.8595,0.35558,-0.38597
0,0,1,0.5311
0.31081,0.85162,0.42207,-0.3604
0.31529,0.85309,0.41572,-0.36228
-0.24154,-0.8309,-0.50126,0.33815
-0.81923,-0.57346,0,0.81923
-0.35283,-0.85825,-0.37271,0.37956
0.32317,0.85861,0.39794,-0.33997
0,0,1,0.5311
0.2505,0.83572,0.48869,-0.33159
0.26146,0.84129,0.47315,-0.33633
-0.20114,-0.81185,-0.54813,0.33572
-0.31068,-0.85572,-0.41379,0.33949
0,0,1,0.5311
0.22626,0.82819,0.51275,-0.33291
0,0,1,1.2292
0,0,-1,-0.5311
-0.81923,-0.57346,0,0.81923
-0.57266,-0.80173,-0.17116,0.57266
-0.4164,-0.87444,-0.24892,0.4825
-0.33233,-0.8992,-0.28461,0.46342
-0.28275,-0.90976,-0.30395,0.47402
-0.25003,-0.9152,-0.31605,0.50097
0.81923,0.57346,0,0.81923
-0.14498,-0.92487,-0.35157,0.66411
0.25003,0.9152,0.31605,0.10173
0.15357,0.87219,-0.46444,-0.95015
0.13394,0.7607,0.63514,0.44998
-0.13394,-0.7607,-0.63514,0.27623
-0.81923,-0.57346,0,0.81923
0.15357,0.87219,-0.46444,0.95015
-0.57266,-0.80173,-0.17116,0.57266
0.1551,0.96704,0.20192,0.76181
-0.42627,-0.85498,-0.29547,0.43749
-0.34194,-0.86087,-0.3768,0.37315
-0.28839,-0.85375,-0.43352,0.34759
0.81923,0.57346,0,0.81923
-0.15357,-0.87219,0.46444,0.95015
0.57266,0.80173,0.17116,0.57266
0.42627,0.85498,0.29547,0.43749
0.34194,0.86087,0.3768,0.37315
0.28839,0.85375,0.43352,0.34759
0.25074,0.8428,0.47626,0.34698
0.22172,0.83059,0.51085,0.3666
-0.0932,-0.72504,-0.68237,0.46902
0,0,-1,1.0622
-0.17192,-0.79385,-0.58331,0.35475
-0.15448,-0.78173,-0.60417,0.37334
0.81923,0.57346,0,0.81923
0.10386,0.7353,0.66974,-0.40412
-0.23661,-0.82814,-0.50814,0.34233
-0.81923,-0.57346,0,0.81923
-0.30318,-0.8489,-0.43295,0.362
0.27786,0.8449,0.4571,-0.3397
0,0,1,0.5311
0.24154,0.8309,0.50126,-0.33815
0.24443,0.83246,0.49725,-0.33792
-0.19509,-0.80765,-0.55645,0.34479
-0.81923,-0.57346,0,0.81923
0,0,-1,1.0622
-0.2687,-0.84171,-0.46832,0.33931
0.24929,0.83682,0.48744,-0.31659
0,0,1,0.5311
0.20114,0.81185,0.54813,-0.33572
0.20849,0.81678,0.53796,-0.33498
-0.16675,-0.78976,-0.59031,0.35877
0,0,-1,1.0622
-0.24117,-0.8331,-0.49778,0.32041
0.81923,0.57346,0,0.81923
0,0,1,0.5311
0.18424,0.80335,0.5663,-0.345
-0.30318,-0.8489,-0.43295,0.362
-0.81923,-0.57346,0,0.81923
0,0,1,0.5311
0.33693,0.85604,0.39201,-0.37246
0.35283,0.85825,0.37271,-0.37956
-0.36718,-0.8595,-0.35558,0.38597
0,0,1,1.2292
0,0,-1,-0.5311
-0.4164,-0.87444,-0.24892,0.4825
0.37877,0.88663,0.26537,-0.45202
-0.32201,-0.90163,-0.28874,0.47536
0.33233,0.8992,0.28461,-0.46342
0.33029,0.905,0.26811,-0.47882
-0.31081,-0.85162,-0.42207,0.3604
-0.81923,-0.57346,0,0.81923
-0.48639,-0.84265,-0.231,0.48234
0.4393,0.85964,0.26082,-0.41597
-0.33029,-0.905,-0.26811,0.47882
0.34194,0.86087,0.3768,-0.37315
-0.25851,-0.83776,-0.48096,0.33902
0,0,1,0.5311
0.31068,0.85572,0.41379,-0.33949
-0.32317,-0.85861,-0.39794,0.33997
0,0,1,1.2292
0,0,-1,-0.5311
-0.36602,-0.89034,-0.27076,0.4553
0.33793,0.89782,0.28235,-0.42653
-0.26535,-0.91281,-0.31044,0.49907
0.28275,0.90976,0.30395,-0.47402
0.27842,0.92886,0.24433,-0.52726
-0.2505,-0.83572,-0.48869,0.33159
-0.41939,-0.86156,-0.28606,0.40764
-0.27842,-0.92886,-0.24433,0.52726
0.28839,0.85375,0.43352,-0.34759
0,0,1,1.2292
0,0,-1,-0.5311
-0.32693,-0.90049,-0.28678,0.43621
-0.22751,-0.91826,-0.32409,0.53688
0.25003,0.9152,0.31605,-0.50097
0,0,1,1.2292
0,0,-1,-0.5311
-0.23418,-0.91742,-0.32173,0.5263
-0.21102,-0.92016,-0.32982,0.56449
0.81923,0.57346,0,0.81923
0.14498,0.92487,0.35157,-0.66411
0,0,1,1.2292
0.81923,0.57346,0,0.81923
0.24437,0.95119,0.18847,-0.085735
-0.25003,-0.9152,-0.31605,-0.10173
-0.81923,-0.57346,0,0.81923
0,0,1,1.2292
0.22626,0.82819,0.51275,0.37079
0.20084,0.81565,0.54256,0.38794
0.18078,0.80375,0.56683,0.41902
0.11712,0.74714,0.65426,0.55363
-0.13394,-0.7607,-0.63514,-0.44998
0,0,-1,1.0622
-0.81923,-0.57346,0,0.81923
0.14498,0.92487,0.35157,0.66411
0.81923,0.57346,0,0.81923
0.57266,0.80173,0.17116,0.57266
0.4164,0.87444,0.24892,0.4825
0.33233,0.8992,0.28461,0.46342
0.28275,0.90976,0.30395,0.47402
0.25003,0.9152,0.31605,0.50097
-0.15357,-0.87219,0.46444,-0.95015
-0.81923,-0.57346,0,0.81923
0.13498,0.7335,-0.66616,0.91118
0.2306,0.87949,0.41631,0.44725
0.2057,0.87895,0.43028,0.48201
-0.1551,-0.96704,-0.20192,-0.76181
-0.40672,-0.85411,-0.32417,0.42824
-0.81923,-0.57346,0,0.81923
-0.57266,-0.80173,-0.17116,0.57266
