x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
90.4301,-60.9049,1.6058,-2.5813,4.0000,0,0,0,0,0
89.6259,-61.4992,1.5973,-2.5191,6.4344,0,0,0,0,0
88.8027,-62.0668,1.5897,-2.5625,8.1733,0,0,0,0,0
87.9582,-62.6024,1.5832,-2.5804,8.3993,0,0,0,0,0
87.1059,-63.1243,1.5793,-2.6448,9.7954,0,0,0,0,0
86.2098,-63.5662,1.5754,-2.7467,11.0160,0,0,0,0,0
85.2649,-63.8922,1.5745,-2.8677,12.1142,0,0,0,0,0
84.3006,-64.1581,1.5769,-2.8727,13.1208,0,0,0,0,0
83.3329,-64.4102,1.5809,-2.8956,14.0555,0,0,0,0,0
82.3602,-64.6417,1.5822,-2.9261,14.9318,0,0,0,0,0
81.3802,-64.8405,1.5803,-2.9627,14.2553,0,0,0,0,0
80.3935,-65.0023,1.5737,-2.9962,13.3346,0,0,0,0,0
79.4019,-65.1313,1.5569,-3.0353,12.3454,0,0,0,0,0
78.4061,-65.2232,1.5391,-3.0513,11.2698,0,0,0,0,0
77.4097,-65.3083,1.5209,-3.0566,10.0800,0,0,0,0,0
76.4132,-65.3924,1.5067,-3.0573,8.7295,0,0,0,0,0
75.4169,-65.4777,1.4909,-3.0479,7.1276,0,0,0,0,0
74.4228,-65.5848,1.4749,-3.0107,5.0400,0,0,0,0,0
73.4350,-65.7399,1.4608,-2.9587,0.0000,0,0,0,0,0
72.4549,-65.9390,1.4483,-2.9348,0.0000,0,0,0,0,0
71.4768,-66.1471,1.4344,-2.9339,0.0000,0,0,0,0,0
70.4982,-66.3527,1.4420,-2.9331,0.0000,0,0,0,0,0
69.5210,-66.5650,1.4329,-2.9308,0.0000,0,0,0,0,0
68.5446,-66.7810,1.3890,-2.9066,0.0000,0,0,0,0,0
