x,y,z,yaw,velocity,change_flag
-12.489077703269343,-23.03431102242018,1.2469624104645287,-0.27358176085455815,0,0
-12.489107305604325,-23.03430279689693,1.2469620302392028,-0.27358165291996,0,0
-12.489137340424502,-23.034294426511,1.2469616611357952,-0.2735815609729869,0,0
-12.489167755272984,-23.034285967804102,1.246961271855206,-0.2735814145267493,0,0
-12.489197854429314,-23.034277597571805,1.2469608971250075,-0.2735813035596285,0,0
-12.4892278135566,-23.03426925663051,1.2469605191835809,-0.27358117439106305,0,0
-12.489257981653441,-23.034260881567718,1.2469601194807993,-0.27358102268253887,0,0
-12.48928810091867,-23.034252485573578,1.2469597419948792,-0.27358087283959664,0,0
-12.489318254536368,-23.034244093087835,1.2469593610130831,-0.2735807976077159,0,0
-12.489348520854666,-23.034235672050873,1.246958985130328,-0.27358064003483357,0,0
-12.489378738028373,-23.034227292839706,1.2469585966197445,-0.27358050371199844,0,0
-12.48940853109976,-23.03421900026401,1.2469582149584026,-0.27358036778980516,0,0
-12.4894386223346,-23.034210655183976,1.2469578179347849,-0.27358019504833286,0,0
-12.489468986147582,-23.034202212121684,1.2469574342738867,-0.2735800288487257,0,0
-12.489499117793393,-23.03419380953844,1.2469570620421646,-0.27357995777114463,0,0
-12.489529288134184,-23.034185431200086,1.246956669852684,-0.2735797696688903,0,0
-12.48955947632986,-23.03417704136714,1.2469562858419458,-0.2735796333045875,0,0
-12.489589570999229,-23.034168663442305,1.2469559024007815,-0.27357951605271524,0,0
-12.489619704831329,-23.034160278438108,1.2469555243580877,-0.27357942312980416,0,0
-12.48964954845948,-23.034151981575864,1.2469551482278998,-0.2735792544539186,0,0
-12.489679898734343,-23.034143531124993,1.2469547557750766,-0.2735790855119595,0,0
-12.489709991604252,-23.03413515386677,1.2469543824302054,-0.27357898165433564,0,0
-12.489740224863542,-23.034126768005507,1.246953985637139,-0.2735788623018547,0,0
-12.489770409459416,-23.034118359634107,1.2469536132235417,-0.2735787744014561,0,0
-12.489800313243958,-23.034110037258294,1.2469532326499355,-0.2735786147945624,0,0
-12.48983082707408,-23.034101579788377,1.2469528302841342,-0.2735784617896068,0,0
-12.4898610598826,-23.03409315099052,1.246952456852812,-0.2735783760996818,0,0
-12.489890948374091,-23.034084862153467,1.2469520632001605,-0.27357820528261206,0,0
-12.489921330114056,-23.034076422921512,1.2469516713640634,-0.27357803908622275,0,0
-12.489951537067771,-23.034068019106854,1.2469512843274575,-0.27357791075859705,0,0
-12.489981458548337,-23.034059661042953,1.2469509310078049,-0.2735778704007578,0,0
-12.490011640457059,-23.034051298584444,1.2469505271979577,-0.2735776544068333,0,0
-12.490042085086479,-23.034042811984186,1.246950161262772,-0.27357758703516877,0,0
-12.490072313603385,-23.03403440601456,1.2469497702865722,-0.27357746260541066,0,0
-12.490102628510174,-23.03402596273495,1.2469493873599535,-0.2735773125815148,0,0
-12.490133024747285,-23.034017506836545,1.2469489947401313,-0.2735771697933224,0,0
-12.490163330619868,-23.034009093187823,1.246948607983168,-0.2735770373316177,0,0
-12.49019308633436,-23.03400083826378,1.2469482226525945,-0.2735768953147071,0,0
-12.49022364746705,-23.03399233146633,1.2469478379524495,-0.27357678326049845,0,0
-12.490253817672771,-23.033983925368904,1.2469474580448157,-0.27357666512974627,0,0
-12.490284071550597,-23.033975530976416,1.2469470628956947,-0.27357651884832945,0,0
-12.490314244377606,-23.033967122541775,1.2469466955711628,-0.2735764334220998,0,0
-12.490344110132803,-23.03395884933096,1.2469462975080625,-0.2735762238975592,0,0
-12.490374746841459,-23.033950329795523,1.2469458982535937,-0.2735760984511129,0,0
-12.490404657333503,-23.033942002960323,1.246945531435979,-0.2735759866624417,0,0
-12.490434920556389,-23.033933583955516,1.2469451445703439,-0.27357586471839895,0,0
-12.49046512142956,-23.033925163850885,1.2469447674849763,-0.2735757840107824,0,0
-12.490495648984636,-23.033916661789867,1.2469443855476137,-0.27357568332892024,0,0
-12.490525573621708,-23.03390837729546,1.2469439892765108,-0.2735754825012039,0,0
-12.490556036997477,-23.03389988677956,1.2469436024357434,-0.2735753722092666,0,0
-12.4905862498565,-23.033891499757097,1.2469432216599794,-0.273575229905557,0,0
-12.49061653252491,-23.03388305499935,1.2469428455527745,-0.27357513802722283,0,0
-12.490646793891665,-23.03387464552922,1.246942457495277,-0.27357497848828405,0,0
-12.490677019185977,-23.03386625819161,1.2469420548645314,-0.27357485904861434,0,0
-12.490707327170652,-23.03385782010643,1.2469416929818224,-0.27357474135856047,0,0
-12.490737268627113,-23.03384952129282,1.2469412888370315,-0.273574589041762,0,0
-12.490767459935654,-23.033841109812688,1.2469409074595512,-0.27357448035845616,0,0
-12.490797630766197,-23.0338326979245,1.2469405405157763,-0.27357441135113714,0,0
-12.490828169325635,-23.03382424149612,1.2469401370436906,-0.27357420297977453,0,0
-12.490858300307595,-23.033815846580676,1.2469397610255117,-0.2735741030982493,0,0
-12.490888401107,-23.033807466850078,1.2469393788881271,-0.2735739904260591,0,0
-12.490918483501444,-23.03379910881028,1.2469389862295763,-0.2735738113278159,0,0
-12.490948774062627,-23.033790661359923,1.2469386083575236,-0.27357376598797234,0,0
-12.490978863565278,-23.033782298375044,1.246938234479325,-0.27357364801890427,0,0
-12.491009374204324,-23.033773808529986,1.246937840191202,-0.27357351467019053,0,0
-12.491039365747124,-23.033765478324508,1.2469374617406632,-0.2735733671673947,0,0
-12.491069618699024,-23.03375707583298,1.246937068268724,-0.2735731952699817,0,0
-12.491100183376153,-23.033748554165214,1.2469366857631896,-0.2735731630119096,0,0
-12.491130393025161,-23.033740182735027,1.246936288368238,-0.273572956745921,0,0
-12.491160693359891,-23.033731758836943,1.2469359019173738,-0.2735728846567588,0,0
-12.491190952540386,-23.03372331394373,1.2469355322072293,-0.27357280099849285,0,0
-12.491220922470793,-23.03371501695034,1.2469351338639925,-0.27357258393798545,0,0
-12.491251020999249,-23.0337066442224,1.246934753495082,-0.2735724732918301,0,0
-12.49128158406038,-23.03369812136235,1.246934376705025,-0.2735723950387859,0,0
-12.491312015767111,-23.033689640570486,1.2469339977473084,-0.2735723243487764,0,0
-12.49134237595735,-23.033681200047212,1.2469336066623011,-0.2735721851806015,0,0
-12.491372761070686,-23.03367279263161,1.2469331967674273,-0.2735719545197619,0,0
-12.491402893984496,-23.033664357433945,1.2469328459806712,-0.2735719484967101,0,0
-12.491433749159006,-23.03365578965114,1.246932439321151,-0.2735718163013658,0,0
-12.491464066108925,-23.03364736179047,1.2469320545399127,-0.27357169947243437,0,0
-12.491494549331108,-23.03363888275878,1.2469316687718726,-0.27357157810918176,0,0
-12.49152507654363,-23.03363040774917,1.246931286025944,-0.27357141527266116,0,0
-12.491555196584134,-23.033622050587127,1.2469308869366427,-0.27357127627600514,0,0
-12.491585531627484,-23.033613621726545,1.2469305034364193,-0.27357111889198754,0,0
-12.491616435158134,-23.03360497740222,1.246930126891899,-0.2735711108204339,0,0
-12.491646667493178,-23.03359658610656,1.2469297335788982,-0.27357094691796935,0,0
-12.491677368689762,-23.03358803777774,1.2469293477705001,-0.27357084049955066,0,0
-12.491707726385009,-23.033579601572022,1.2469289609548257,-0.2735706868013191,0,0
-12.491738125992514,-23.03357116870776,1.2469285610534118,-0.2735705520216678,0,0
-12.491768278443516,-23.033562777720867,1.2469281752666963,-0.2735704386341075,0,0
-12.491798639885507,-23.033554305601065,1.2469278125432894,-0.2735703680939746,0,0
-12.491828975087882,-23.033545921296675,1.2469274024454124,-0.27357014758626397,0,0
-12.491859727750509,-23.033537327996957,1.2469270299779542,-0.27357011151567096,0,0
-12.491890127953459,-23.03352888640386,1.2469266350927735,-0.2735699762202935,0,0
-12.491920534017687,-23.033520404741882,1.2469262629523286,-0.27356989242228313,0,0
-12.491950694805483,-23.033512033137015,1.246925871972773,-0.2735697457762693,0,0
-12.491981224067665,-23.03350353244854,1.2469254895360424,-0.27356966498289786,0,0
-12.492011726827215,-23.033495046656473,1.246925097297886,-0.27356952899961207,0,0
-12.492042684172683,-23.033486446758406,1.2469247024475656,-0.2735693979602721,0,0
-12.492072843378,-23.03347805768045,1.2469243165910717,-0.2735693013082456,0,0
-12.492103223637503,-23.033469640866354,1.2469239215788137,-0.27356912910968906,0,0
-12.492134164490064,-23.033461001898523,1.2469235351706263,-0.27356903342466193,0,0
-12.492164618145026,-23.03345254122968,1.2469231467468114,-0.2735689221893568,0,0
-12.492195088025747,-23.033444071516673,1.2469227534606433,-0.27356878592585665,0,0
-12.492225613589108,-23.033435563755624,1.2469223836172578,-0.27356873646709584,0,0
-12.492256187131414,-23.033427080154244,1.2469219770194664,-0.27356856916398903,0,0
-12.492286507565947,-23.03341862764175,1.2469216082817223,-0.27356849655365495,0,0
-12.492317407673182,-23.033410083405947,1.2469211874920947,-0.2735682946335935,0,0
-12.49234740447557,-23.033401748462524,1.2469208043415827,-0.2735681849023697,0,0
-12.49237792243977,-23.033393257541984,1.2469204186662322,-0.2735680702243489,0,0
-12.492408904724218,-23.033384622272983,1.2469200319794274,-0.2735679897390103,0,0
-12.492439159850964,-23.03337619378631,1.2469196580237158,-0.27356789853218505,0,0
-12.49246993752757,-23.03336767685051,1.2469192442586952,-0.27356770687972937,0,0
-12.492500329889651,-23.033359183249555,1.246918879595207,-0.27356767077852817,0,0
-12.492531139938812,-23.033350604321413,1.246918485203493,-0.27356753427122377,0,0
-12.492561278951548,-23.03334223450566,1.2469181074591253,-0.27356744804845545,0,0
-12.492592076460278,-23.033333708720164,1.246917694701691,-0.2735672882500211,0,0
-12.492623179785694,-23.033325042449146,1.2469173029093845,-0.27356718814169917,0,0
-12.492653112272233,-23.033316727162553,1.246916914480281,-0.2735670626440101,0,0
-12.492683385434063,-23.033308281754753,1.2469165406538694,-0.27356695698646744,0,0
-12.492714143152282,-23.03329974577284,1.2469161447271433,-0.2735668559235384,0,0
-12.492744438807573,-23.033291315219753,1.2469157600952832,-0.2735667460305255,0,0
-12.492774901754371,-23.03328285343499,1.2469153704042573,-0.2735666344598064,0,0
-12.492805643910627,-23.03327427647691,1.2469149854674522,-0.2735665277480513,0,0
-12.492836581729135,-23.033265679771652,1.246914598735833,-0.2735664420000186,0,0
-12.492866878843845,-23.03325728241104,1.2469141957710328,-0.27356627526651806,0,0
-12.492897862681703,-23.033248641121837,1.2469138118199055,-0.2735661987792856,0,0
-12.49292847459815,-23.033240117120126,1.2469134210307848,-0.2735660626777817,0,0
-12.49295908379008,-23.033231616710133,1.2469130358023461,-0.2735659724627986,0,0
-12.492989340696035,-23.03322323331469,1.2469126349055153,-0.2735658083645283,0,0
-12.493020300808276,-23.033214593427385,1.2469122535220425,-0.2735657580745625,0,0
-12.493050791816039,-23.033206082803854,1.2469118842694182,-0.2735657145320727,0,0
-12.493081939280648,-23.033197453227032,1.246911461498717,-0.2735655653401504,0,0
-12.493112207763316,-23.033189032995246,1.2469110898402276,-0.2735654439514767,0,0
-12.493143054497745,-23.033180470091096,1.2469106898708233,-0.2735653077398523,0,0
-12.493173351523392,-23.033172042977228,1.2469103070134495,-0.2735652131929637,0,0
-12.493203956726568,-23.033163523314467,1.2469099095639642,-0.27356511397237016,0,0
-12.493234912030603,-23.033154907341192,1.2469095238907468,-0.27356503040145064,0,0
-12.493265770910353,-23.033146306331354,1.2469091425178096,-0.2735649681302991,0,0
-12.49329624927434,-23.033137858273903,1.2469087457874404,-0.2735648055462965,0,0
-12.493327051771692,-23.033129311201993,1.2469083469372302,-0.27356467653495325,0,0
-12.493357702838281,-23.033120778630256,1.2469079529756733,-0.27356460401204663,0,0
-12.493388473433809,-23.033112208668193,1.246907567316741,-0.273564457616645,0,0
-12.49341908386779,-23.033103681393353,1.246907192499294,-0.2735644155004859,0,0
-12.493449338436644,-23.03309530307065,1.2469067925528883,-0.27356427289419766,0,0
-12.493480413517249,-23.03308663728969,1.2469064016357754,-0.2735641896634737,0,0
-12.493511139618876,-23.033078101333846,1.2469060065863269,-0.273564088867282,0,0
-12.493541845002905,-23.033069586051795,1.2469056122425601,-0.27356393666937495,0,0
-12.493572532208264,-23.033061047572325,1.2469052175288744,-0.27356384522283717,0,0
-12.493602946782516,-23.033052573436198,1.2469048474885394,-0.27356378217723254,0,0
-12.493633581853741,-23.0330440733637,1.2469044450360913,-0.2735636434820792,0,0
-12.493664296303228,-23.033035532757236,1.2469040516146324,-0.2735635480296706,0,0
-12.493695338113419,-23.033026873548337,1.2469036544296757,-0.2735634290849743,0,0
-12.493725653746028,-23.033018431996933,1.2469032951355685,-0.27356343457042376,0,0
-12.493756818696184,-23.033009770497554,1.2469028858138247,-0.2735633060182668,0,0
-12.493787297053744,-23.033001296167196,1.246902502549337,-0.2735632094699292,0,0
-12.493818032760457,-23.032992776704877,1.2469020993680968,-0.2735630545541697,0,0
-12.49384883943225,-23.032984195948234,1.2469017108742761,-0.2735629822924669,0,0
-12.49387986707501,-23.032975573935783,1.246901311238162,-0.2735628898938806,0,0
-12.493910854540234,-23.0329669307013,1.246900917872566,-0.2735628051569675,0,0
-12.493941877821712,-23.032958341447603,1.2469005200372396,-0.2735626811721509,0,0
-12.493971945708392,-23.032949948228072,1.2469001531949362,-0.27356264435671773,0,0
-12.49400317904777,-23.032941293484946,1.2468997391093115,-0.273562485172916,0,0
-12.494033587343386,-23.032932831372374,1.246899364524408,-0.27356240895169787,0,0
-12.494064677454572,-23.032924177323423,1.2468989673276492,-0.2735623408798469,0,0
-12.494095438655611,-23.032915607300897,1.2468985711668483,-0.2735622765679002,0,0
-12.494126290967245,-23.03290702418763,1.2468981806645945,-0.2735622020804325,0,0
-12.49415702541739,-23.032898490254375,1.2468977857913928,-0.27356207062765747,0,0
-12.49418754829565,-23.032890001437107,1.246897407207347,-0.2735619950290117,0,0
-12.494218439905481,-23.032881390868017,1.2468970272122726,-0.27356196441808367,0,0
-12.494249668687761,-23.032872717855902,1.2468966181656311,-0.27356184743622797,0,0
-12.494280448736555,-23.032864167055692,1.246896213899128,-0.2735617238339426,0,0
-12.494311222473675,-23.03285559533398,1.2468958263005023,-0.27356163771989156,0,0
-12.494342181368628,-23.032847009247547,1.2468954191578738,-0.27356155003464033,0,0
-12.494373053978679,-23.032838420527195,1.2468950338245313,-0.27356147520685237,0,0
-12.494403920789956,-23.03282986295007,1.246894631752857,-0.27356136716364615,0,0
-12.494434509378937,-23.03282134630526,1.2468942488351384,-0.27356130424033004,0,0
-12.494465437743642,-23.032812728280504,1.2468938667208977,-0.27356124394592213,0,0
-12.494496312914306,-23.032804154923394,1.246893466789075,-0.2735611395213194,0,0
-12.49452732282501,-23.032795493456053,1.2468930855979372,-0.2735610988929326,0,0
-12.494558453082083,-23.032786883265967,1.2468926620721625,-0.27356095146832343,0,0
