x,y,z,yaw,velocity,change_flag
0.0,0.0,0.0,0.0456824810746628,7.0,0.0
7.45,0.0,0.0,0.0456824810746628,7.0,0.0
14.9,0.0,0.0,0.0456824810746628,7.0,0.0
22.35,0.0,0.0,0.0456824810746628,7.0,0.0
29.8,0.0,0.0,0.0456824810746628,7.0,0.0
30.0,0.0,0.0,0.0456824810746628,7.0,0.0
30.805,0.03680000000000001,0.0,0.09099589158670295,7.0,0.0
32.57600000000001,0.19840000000000008,0.0,0.19770085101855317,7.0,0.0
34.37115,0.5580000000000003,0.0,0.36527845193333564,7.0,0.0
35.804050000000004,1.1060000000000003,0.0,0.4791102940603917,7.0,0.0
37.04375,1.75,0.0,0.47911029406039196,7.0,0.0
38.28345,2.394,0.0,0.365278451933337,7.0,0.0
39.71635,2.9419999999999997,0.0,0.19770085101855225,7.0,0.0
41.5115,3.3015999999999996,0.0,0.09099589158670324,7.0,0.0
43.2825,3.4631999999999996,0.0,0.045682481074663266,7.0,0.0
44.0875,3.5,0.0,0.045682481074663266,7.0,0.0
44.2875,3.5,0.0,0.045682481074663266,7.0,0.0
51.737500000000004,3.5,0.0,0.045682481074663266,7.0,0.0
59.1875,3.5,0.0,0.045682481074663266,7.0,0.0
66.6375,3.5,0.0,0.045682481074663266,7.0,0.0
74.0875,3.5,0.0,0.045682481074663266,7.0,0.0
