x,y,z,yaw,velocity,change_flag
0.0,0.0,0.0,0.003313597339716413,20.0,0.0
7.45,0.0,0.0,0.003313597339716413,20.0,0.0
14.9,0.0,0.0,0.003313597339716413,20.0,0.0
22.35,0.0,0.0,0.003313597339716413,20.0,0.0
29.8,0.0,0.0,0.003313597339716413,20.0,0.0
30.0,0.0,0.0,0.003313597339716413,20.0,0.0
30.8251953125,0.002734375000000044,0.0,0.00425658724437055,20.0,0.0
33.11941964285714,0.012500000000000068,0.0,0.005482462552341715,20.0,0.0
36.610630580357146,0.031640625000000075,0.0,0.006987723889308325,20.0,0.0
41.026785714285715,0.06250000000000007,0.0,0.008861746828386828,20.0,0.0
46.09584263392858,0.10742187500000006,0.0,0.011252564847334216,20.0,0.0
51.54575892857143,0.16875000000000004,0.0,0.01440482615064151,20.0,0.0
57.1044921875,0.248828125,0.0,0.018748934021884475,20.0,0.0
62.5,0.35000000000000003,0.0,0.024668801922334636,20.0,0.0
67.5146484375,0.47373046875,0.0,0.031117455106843786,20.0,0.0
72.1484375,0.6179687500000001,0.0,0.03754995291172431,20.0,0.0
76.45577566964286,0.77978515625,0.0,0.04370249322755172,20.0,0.0
80.49107142857142,0.95625,0.0,0.04925302670394838,20.0,0.0
84.30873325892857,1.14443359375,0.0,0.0538474941790792,20.0,0.0
87.96316964285715,1.3414062500000001,0.0,0.05714409249518634,20.0,0.0
91.5087890625,1.5442382812500002,0.0,0.05886896399262129,20.0,0.0
95.0,1.75,0.0,0.05886896399262129,20.0,0.0
98.4912109375,1.9557617187499998,0.0,0.057144092495186045,20.0,0.0
102.03683035714286,2.1585937499999996,0.0,0.05384749417907946,20.0,0.0
105.69126674107143,2.35556640625,0.0,0.0492530267039485,20.0,0.0
109.50892857142857,2.5437499999999997,0.0,0.043702493227551466,20.0,0.0
113.54422433035715,2.72021484375,0.0,0.03754995291172451,20.0,0.0
117.8515625,2.8820312500000003,0.0,0.03111745510684383,20.0,0.0
122.48535156249999,3.02626953125,0.0,0.024668801922334532,20.0,0.0
127.5,3.15,0.0,0.01874893402188455,20.0,0.0
132.89550781249997,3.251171875,0.0,0.014404826150641405,20.0,0.0
138.45424107142858,3.33125,0.0,0.011252564847334237,20.0,0.0
143.90415736607144,3.392578125,0.0,0.00886174682838688,20.0,0.0
148.97321428571428,3.4375,0.0,0.0069877238893082385,20.0,0.0
153.3893694196429,3.468359375,0.0,0.005482462552341871,20.0,0.0
156.88058035714286,3.4875000000000003,0.0,0.004256587244370346,20.0,0.0
159.1748046875,3.497265625,0.0,0.003313597339716037,20.0,0.0
160.0,3.4999999999999996,0.0,0.003313597339716037,20.0,0.0
160.2,3.5,0.0,0.003313597339716037,20.0,0.0
167.64999999999998,3.5,0.0,0.003313597339716037,20.0,0.0
175.1,3.5,0.0,0.003313597339716037,20.0,0.0
182.55,3.5,0.0,0.003313597339716037,20.0,0.0
190.0,3.5,0.0,0.003313597339716037,20.0,0.0
